"birthyear","race","gender","att","empl","inc","pid","pid.follow","ideol","ideol.follow","educ","mor.suffer","mor.care","mor.cruel","mor.comp","mor.anim","mor.kill","si.white","si.care","si.kids","si.kill","si.good","si.help","hc.group","hc.likert","hc.slider","hc.check","ev.group","ev.likert","ev.slider","ev.check","online.length","study.choice","RID","online.why","com"
1,4,2,2,3,3,3,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,"m.supp",4,7.1,3,"m.supp",3,6.2,3,1,2,"5fd98a72-f2e1-9dfd-28f3-0bef91f9272a","12/1","None"
3,2,2,2,1,2,1,2,1,1,4,4,2,6,6,5,3,1,4,1,4,1,1,"control",4,6.3,3,"si.opp",2,5.5,5,1,1,"5fd98a3e-1940-0b09-8140-7cc5f2451650","Last month ",NA
6,1,2,2,3,4,2,1,2,2,1,2,2,4,6,6,5,1,5,4,5,1,2,"control",3,3.1,3,"control",4,5,5,5,2,"5fd98b0b-bf32-f4e3-ed7d-157d5b6e4a1e","Make more money ","No"
22,1,2,2,1,6,4,2,3,3,1,5,6,6,6,6,2,3,3,2,2,4,1,"control",4,8.3,3,"si.supp",5,10,5,1,1,"5fd988d5-d5c6-081a-3a9a-ebfce0d4cd81",NA,NA
5,2,2,2,3,2,4,3,3,3,3,4,2,4,NA,NA,NA,1,4,3,4,2,3,"si.supp",4,8.4,1,"control",3,5.7,3,2,2,"5fd98aee-71b8-50be-e04c-b76d1c466a8b","Suggested from a friend ","I support anything that is good for the people generally "
45,1,2,2,2,2,3,1,2,2,4,4,4,5,NA,NA,NA,3,4,2,3,3,3,"si.opp",1,1.3,3,"si.opp",4,8,5,5,2,"5fd98981-0a8f-7503-ccae-8f24af35d5d9","I started completing surveys online to earn gift certificates.",NA
6,4,2,2,2,3,1,2,1,1,4,3,3,5,4,6,5,5,6,5,4,5,5,"si.supp",5,9.1,3,"si.opp",5,9.2,5,1,1,"5fd98afd-13fb-1d73-9054-ab7a914cd6fd","Earn points",NA
2,3,2,2,2,4,1,1,1,1,3,5,5,4,5,3,3,6,6,6,6,4,6,"control",3,5.4,3,"control",3,5.7,1,5,3,"5fd98bcc-cfab-cbe3-79eb-fe8a441ad3ce","to make money","nond"
53,1,2,2,4,3,3,2,2,2,4,5,5,5,6,6,5,1,2,2,NA,NA,NA,"si.opp",3,5.5,3,"m.supp",3,5.5,5,4,3,"5fd98b09-98d6-2b9b-be69-535277f3fff2","it's a good way to have your opion heard",NA
17,1,2,2,2,1,3,2,3,1,3,6,6,6,6,6,6,2,5,3,1,4,1,"si.opp",4,6.3,3,"control",5,8,5,5,3,"5fd98c2f-c7d0-aa04-19bd-2e3f7a5425f4","To earn extra money",NA
23,1,1,2,2,7,3,3,1,1,5,5,2,1,1,4,6,1,6,6,1,6,6,"control",5,10,3,"m.opp",1,9.8,4,5,6,"5fd98b66-c9a9-212b-cdf3-be91a6feb413","interest","no"
5,1,2,2,1,5,1,1,1,1,2,2,2,2,4,3,2,3,4,3,2,3,5,"m.opp",3,1,5,"si.supp",2,10,2,4,4,"5fd986e0-a678-9019-377c-08cd03ef6fb8","cz i can",NA
19,1,2,2,1,2,3,3,3,3,3,3,4,4,4,6,5,2,4,3,1,3,3,"si.opp",3,5.6,3,"si.supp",4,6.7,5,3,3,"5fd98d39-4a6e-d7a2-de0a-6a628f6a2278","To make money and learn new things.","Not at this time "
20,1,1,2,2,5,2,1,2,1,4,4,3,3,4,4,4,3,3,2,4,5,4,"si.opp",3,7.4,3,"m.opp",2,5.1,4,2,1,"5fd98d21-2aa8-1e20-6a6b-597233860e2b","Money","Thanks"
20,1,2,2,2,2,3,3,2,2,1,4,4,4,3,4,4,4,4,5,3,4,3,"control",3,5.9,3,"si.supp",4,5.7,1,5,6,"5fd98d3d-0d5f-0462-c6b7-179f0aff689a","For extra money","No"
26,1,1,2,5,2,3,3,3,3,1,6,5,6,6,6,6,1,1,1,1,1,1,"si.supp",3,5.8,3,"control",3,5.1,5,2,6,"5fd98d48-c52b-a7c5-3140-80337e0782bb","To earn xtra money and voice my opion",NA
21,1,2,2,2,2,3,2,2,1,3,6,6,6,6,5,5,1,4,3,1,1,2,"m.supp",4,6.4,3,"m.opp",5,7.7,5,3,1,"5fd98c0e-b366-8751-5db3-9b3c9e8a1095","To make extra cash on the side during covids hard times","Very intriguing"
2,1,1,2,1,1,3,2,3,1,1,3,4,5,4,6,1,4,1,4,3,3,4,"si.opp",3,5.1,3,"si.supp",5,7.7,5,1,6,"5fd98cc1-c0f5-443b-f8f1-093943847db3","To earn more money","Na"
55,1,1,2,4,2,1,1,1,1,4,6,6,6,6,6,6,1,6,1,6,5,1,"m.supp",4,7.5,3,"control",5,10,5,5,6,"5fd98c69-63c6-19ed-9f2f-ffa0152e0647","To make some extra money ",NA
13,3,2,2,2,4,3,3,3,3,4,1,1,1,4,3,2,4,4,5,4,4,3,"si.opp",3,7.5,3,"si.opp",3,1.8,4,1,6,"5fd98ca2-a821-a6ab-bbb3-982f2220d335","Becausr","No d"
58,2,2,2,4,3,2,2,3,3,2,4,2,2,5,4,6,1,6,1,6,1,1,"m.supp",5,8.2,3,"si.opp",5,5.5,5,5,1,"5fd98cce-b71b-d95d-fac0-539fc0c29d93","I need the incentives.",NA
1,1,2,2,5,1,4,3,3,3,1,1,6,6,6,6,6,1,6,1,1,1,6,"control",3,3.9,4,"m.opp",3,2.7,4,4,6,"5fd98db6-fdcd-2dcc-3def-c4598501e2e8","Heard alot anout them and figured i have free time to answer and help someone find a product rwally is good","None"
4,1,2,2,3,1,1,1,3,1,2,6,6,6,6,6,3,2,3,2,NA,NA,NA,"m.opp",2,2.3,3,"control",2,2.6,5,5,1,"5fd98e1a-485c-9e4d-19bc-9b02490621bf","Money","No comment "
4,1,2,2,3,1,1,1,3,1,2,6,6,6,6,6,3,2,3,2,NA,NA,NA,"m.opp",2,2.3,3,"control",2,2.6,5,5,1,"5fd98e1a-485c-9e4d-19bc-9b02490621bf","Money","No comment "
13,1,2,2,1,2,3,1,2,2,1,6,5,6,5,6,6,1,6,5,5,4,5,"si.opp",5,10,2,"m.opp",5,9,3,5,1,"5fd98e1f-e6db-d1de-cb7f-c5a121e36ed6","To earn income",NA
24,1,2,2,1,2,1,2,3,3,2,6,6,6,6,6,4,2,6,1,4,2,4,"si.supp",5,8.2,3,"m.opp",3,6.4,5,1,1,"5fd98de8-0ab1-3bf2-85b0-1c1965025458","earn money share opinion",NA
1,3,2,2,1,3,3,2,2,2,3,3,4,4,5,6,5,3,2,4,NA,NA,NA,"si.opp",3,3,3,"control",2,3.1,5,2,3,"5fd98e6f-4bf6-00c8-e768-567786c43f49","I needed extra money for holidays. ","None"
1,3,2,2,1,3,3,2,2,2,3,3,4,4,5,6,5,3,2,4,NA,NA,NA,"si.opp",3,3,3,"control",2,3.1,5,2,3,"5fd98e6f-4bf6-00c8-e768-567786c43f49","I needed extra money for holidays. ","None"
1,3,2,2,1,3,3,2,2,2,3,3,4,4,5,6,5,3,2,4,NA,NA,NA,"si.opp",3,3,3,"control",2,3.1,5,2,3,"5fd98e6f-4bf6-00c8-e768-567786c43f49","I needed extra money for holidays. ","None"
12,1,2,2,2,2,2,1,3,3,2,6,6,6,6,6,6,6,6,6,6,6,6,"si.supp",1,10,3,"m.opp",1,5.3,1,2,1,"5fd98e7b-69c7-b120-2f8e-5e7c81f1204d","Pay for my books","Na"
12,1,2,2,2,2,2,1,3,3,2,6,6,6,6,6,6,6,6,6,6,6,6,"si.supp",1,10,3,"m.opp",1,5.3,1,2,1,"5fd98e7b-69c7-b120-2f8e-5e7c81f1204d","Pay for my books","Na"
12,1,2,2,2,2,2,1,3,3,2,6,6,6,6,6,6,6,6,6,6,6,6,"si.supp",1,10,3,"m.opp",1,5.3,1,2,1,"5fd98e7b-69c7-b120-2f8e-5e7c81f1204d","Pay for my books","Na"
12,1,2,2,2,2,2,1,3,3,2,6,6,6,6,6,6,6,6,6,6,6,6,"si.supp",1,10,3,"m.opp",1,5.3,1,2,1,"5fd98e7b-69c7-b120-2f8e-5e7c81f1204d","Pay for my books","Na"
1,1,2,2,2,1,2,1,2,1,1,6,6,6,6,6,5,1,1,2,5,2,1,"m.opp",4,7.8,3,"si.supp",3,5.5,5,1,1,"5fd98e8f-1b39-7c1a-62ad-78fe54357d00","To earn money",NA
10,1,2,2,1,2,2,1,2,2,1,6,6,6,6,6,6,1,4,3,3,1,4,"m.opp",2,3.8,3,"si.opp",3,5.5,5,5,2,"5fd98e46-2a86-3ec2-6d23-1badba7c2925","2 years ago","None"
16,4,1,2,2,2,2,1,2,1,5,5,5,6,5,6,6,6,6,6,6,4,4,"si.supp",2,2.5,3,"m.opp",2,3.2,5,2,2,"5fd98e31-0f2e-554b-59c8-ffd3290e1873","To earn points for a cryptocurrency faucet","N/A"
3,1,1,2,3,2,1,2,1,2,2,4,3,4,6,6,2,1,3,1,5,4,1,"si.opp",3,7.2,3,"si.opp",5,8.2,5,5,1,"5fd98e2b-de60-1fef-afd6-72a8564172de","Extra money",NA
14,2,1,2,2,3,1,1,1,1,3,6,6,6,1,6,6,1,6,1,1,1,6,"m.supp",4,8,7,"si.opp",5,8.8,3,3,1,"5fd98ea6-9d40-6c28-9db6-cc30b681f607","Money","No i don't"
